Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YJL014W	YJL014W	24	24	24	sp|YJL014W|CCT3_YEAST NCSL01000002.1 203286-204890 ORF Verified Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo; capable of binding Q/N rich proteins and mediating their foldin	1	24	24	24	17	5	4	3	14	5	12	17	5	4	3	14	5	12	17	5	4	3	14	5	12	55.2	55.2	55.2	58.814	534	534	0	36.64	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	44	11.2	8.2	5.8	33.1	12.4	25.5	51755000	18732000	4186200	2241600	582560	20252000	2634400	3125300	1568300	567640	126850	67929	17653	613710	79829	94707	2688000	1066500	1252000	2442000	4566400	1155100	2779000	19	1	2	1	11	2	11	47				1119	719;1705;1810;2621;3106;4399;5141;5242;6383;6725;7109;8028;9376;9429;9891;10067;10451;10671;11244;13080;13552;14195;15163;15308	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	764;1802;1913;2776;3299;4649;5441;5552;6749;7111;7112;7518;8486;9967;10037;10549;10732;10733;11140;11141;11376;11979;13921;14416;15108;16124;16281	2924;2925;6711;7048;7049;10134;10135;11938;16581;16582;16583;19457;19458;19459;19460;19461;19878;19879;23882;23883;23884;25101;25102;25103;25104;25105;26480;29843;29844;34736;34987;36678;37272;37273;38827;38828;38829;38830;39845;39846;39847;41841;48468;48469;48470;48471;50301;50302;50303;50304;50305;50306;53103;53104;53105;56730;56731;56732;56733;56734;57352;57353;57354;57355	2558;5987;6272;6273;9039;9040;10610;14572;14573;17098;17099;17100;17480;17481;21022;21023;22072;22073;23245;26215;26216;30458;30664;32171;32667;32668;34104;34105;34106;34107;34108;35064;35065;35066;36779;42683;42684;44269;44270;44271;44272;44273;44274;44275;46755;46756;49936;50464;50465	2558;5987;6272;9039;10610;14572;17100;17480;21022;22072;23245;26216;30458;30664;32171;32667;34105;35064;36779;42684;44273;46755;49936;50465	933;934;935;936;937;938	1;47;400;407;421;494
YJL019W	YJL019W	1	1	1	sp|YJL019W|MPS3_YEAST NCSL01000002.1 198623-200674 ORF Verified Nuclear envelope protein; required for SPB insertion, SPB duplication, Kar5p localization near the SPB and nuclear fusion; interacts with Mps2p to tether half-bridge to core SPB; N-terminal ac	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	2.2	2.2	2.2	79.33	683	683	0	2.4995	By MS/MS						By MS/MS	2.2	0	0	0	0	0	2.2	1061600	839400	0	0	0	0	0	222190	31223	24688	0	0	0	0	0	6535.1	0	0	0	0	0	0	222190	1	0	0	0	0	0	2	3				1120	10827	True	11542	40365;40366	35513;35514;35515	35513		
YJL020C	YJL020C	6	6	6	sp|YJL020C|BBC1_YEAST NCSL01000002.1 194567-198136 ORF Verified Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to co	1	6	6	6	6	0	0	0	1	0	3	6	0	0	0	1	0	3	6	0	0	0	1	0	3	6.3	6.3	6.3	131.13	1189	1189	0	16.019	By MS/MS				By MS/MS		By MS/MS	6.3	0	0	0	1.8	0	2.9	7025700	5937100	0	0	0	539860	0	548700	121130	102360	0	0	0	9307.9	0	9460.3	702710	0	0	0	0	0	656490	4	0	0	0	2	0	3	9				1121	3945;4041;9786;11933;14538;14977	True;True;True;True;True;True	4171;4268;10435;12702;15474;15931	14956;14957;15255;15256;36279;36280;44191;44192;54429;56048;56049	13220;13221;13485;13486;13487;31828;31829;38888;38889;47966;49352	13221;13487;31829;38888;47966;49352		
YJL024C	YJL024C	2	2	2	sp|YJL024C|APS3_YEAST NCSL01000002.1 191566-192222 ORF Verified Small subunit of the clathrin-associated adaptor complex AP-3; involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of 	1	2	2	2	2	0	1	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	11.3	11.3	11.3	21.938	194	194	0.0045249	1.3149	By MS/MS		By matching					11.3	0	4.6	0	0	0	0	1173000	725470	0	447510	0	0	0	0	195500	120910	0	74584	0	0	0	0	99038	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1122	4229;8237	True;True	4460;8709	15914;15915;30542	14008;26792	14008;26792		
YJL026W	YJL026W	14	14	14	sp|YJL026W|RNR2_YEAST NCSL01000002.1 188038-189237 ORF Verified Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint path	1	14	14	14	11	9	8	2	7	8	5	11	9	8	2	7	8	5	11	9	8	2	7	8	5	52.1	52.1	52.1	46.133	399	399	0	99.347	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.6	40.6	36.8	7.5	28.1	24.1	15	67264000	29689000	7875900	12654000	201530	9132800	5941600	1769400	3540200	1562600	414520	665990	10607	480670	312720	93128	3951900	2163800	3143600	1130800	2309300	2422000	2434400	13	5	8	2	8	6	3	45				1123	2;3;196;1519;2943;3107;6808;12807;14002;14308;14656;15482;15681;15776	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2;3;205;1608;3124;3300;7198;13634;14897;15228;15229;15601;16465;16678;16780	7;8;9;10;11;12;13;14;852;853;5972;5973;5974;5975;5976;11359;11939;11940;11941;11942;11943;25468;25469;25470;25471;25472;25473;47488;47489;47490;51983;51984;51985;51986;53553;53554;53555;53556;53557;53558;53559;54868;54869;58034;58035;58036;58037;58038;58856;58857;58858;59165	7;8;9;10;11;12;13;725;5329;5330;5331;5332;5333;5334;10146;10147;10611;10612;10613;10614;10615;10616;22397;22398;22399;22400;22401;22402;41828;45754;47177;47178;47179;47180;47181;48344;48345;48346;51035;51036;51037;51038;51039;51758;51759;51760;52034	7;8;725;5333;10147;10611;22398;41828;45754;47179;48345;51035;51759;52034	939;940;941	72;322;327
YJL030W	YJL030W	24	24	24	sp|YJL030W|MAD2_YEAST NCSL01000002.1 183317-183907 ORF Verified Component of the spindle-assembly checkpoint complex; delays onset of anaphase in cells with defects in mitotic spindle assembly; forms a complex with Mad1p; regulates APC/C activity during pr	1	24	24	24	21	24	24	16	20	19	4	21	24	24	16	20	19	4	21	24	24	16	20	19	4	94.4	94.4	94.4	22.284	196	196	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	93.9	94.4	94.4	87.8	92.3	92.3	22.4	45484000000	3898500000	18981000000	21901000000	82170000	477170000	142260000	793100	3032200000	259900000	1265400000	1460100000	5478000	31811000	9484000	52873	428240000	6482300000	5831500000	228700000	119030000	74442000	884340	55	165	217	12	27	23	2	501				1124	1372;1517;2530;2531;2693;2694;5162;5163;6178;7057;7296;10894;12523;12524;13294;13384;13385;14026;14403;14404;14953;14954;15508;15606	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1457;1606;2682;2683;2850;2851;5462;5463;6531;7461;7712;11611;13335;13336;14144;14241;14242;14923;15334;15335;15907;15908;16491;16599	5493;5494;5495;5496;5497;5498;5499;5500;5501;5502;5503;5504;5965;5966;5967;5968;5969;5970;9635;9636;9637;9638;9639;9640;9641;9642;9643;9644;9645;9646;9647;9648;9649;9650;9651;9652;9653;9654;9655;9656;9657;9658;9659;9660;9661;9662;9663;9664;9665;9666;9667;9668;9669;9670;9671;9672;9673;9674;9675;9676;9677;9678;9679;9680;9681;9682;9683;9684;9685;9686;9687;9688;9689;9690;9691;9692;9693;9694;9695;9696;9697;9698;9699;9700;9701;9702;9703;9704;9705;9706;9707;9708;9709;9710;9711;9712;9713;9714;9715;9716;9717;9718;9719;9720;9721;9722;9723;9724;9725;9726;9727;9728;9729;9730;9731;9732;9733;9734;9735;9736;9737;9738;9739;9740;9741;9742;9743;9744;9745;9746;9747;9748;9749;9750;9751;9752;9753;9754;9755;9756;9757;9758;9759;9760;9761;9762;9763;9764;9765;9766;9767;9768;9769;9770;9771;9772;9773;9774;9775;9776;9777;9778;9779;9780;9781;9782;9783;9784;9785;9786;9787;9788;9789;9790;9791;9792;9793;9794;9795;9796;9797;9798;9799;9800;9801;9802;9803;9804;9805;9806;9807;9808;9809;9810;9811;9812;9813;9814;9815;10386;10387;10388;10389;10390;10391;10392;10393;10394;10395;10396;10397;10398;10399;10400;10401;10402;10403;10404;10405;10406;19555;19556;19557;19558;19559;19560;19561;19562;19563;19564;19565;19566;19567;19568;19569;19570;19571;19572;19573;19574;19575;19576;19577;19578;19579;19580;19581;19582;19583;19584;19585;19586;23238;23239;23240;23241;23242;23243;23244;23245;23246;26273;26274;26275;26276;27012;27013;27014;27015;27016;27017;40620;40621;40622;40623;40624;40625;40626;40627;40628;40629;40630;40631;40632;40633;40634;40635;40636;40637;40638;40639;40640;40641;40642;40643;40644;40645;40646;40647;40648;40649;40650;40651;40652;40653;40654;40655;40656;40657;40658;40659;40660;40661;40662;40663;40664;40665;40666;40667;40668;40669;46476;46477;46478;46479;46480;46481;46482;46483;46484;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;49246;49247;49248;49249;49250;49598;49599;49600;49601;49602;49603;49604;49605;49606;49607;49608;49609;49610;49611;49612;49613;49614;49615;49616;49617;49618;49619;49620;49621;49622;49623;49624;49625;49626;49627;49628;49629;49630;49631;49632;49633;49634;49635;49636;49637;49638;49639;49640;49641;49642;49643;49644;49645;49646;49647;49648;49649;49650;49651;49652;49653;49654;49655;49656;49657;49658;49659;49660;52088;52089;52090;52091;52092;52093;52094;52095;52096;52097;52098;52099;52100;52101;52102;52103;52104;52105;52106;52107;52108;52109;52110;52111;52112;52113;52114;52115;52116;52117;52118;52119;52120;52121;52122;52123;52124;52125;52126;52127;52128;52129;52130;52131;52132;52133;52134;52135;52136;52137;52138;52139;52140;52141;52142;52143;52144;52145;52146;52147;52148;52149;52150;52151;52152;52153;52154;52155;52156;52157;52158;52159;52160;52161;52162;52163;52164;52165;52166;52167;52168;52169;53929;53930;53931;53932;53933;53934;53935;53936;53937;53938;53939;53940;55960;55961;55962;55963;55964;55965;55966;55967;55968;55969;55970;55971;55972;55973;55974;55975;55976;55977;55978;55979;55980;55981;55982;55983;55984;58140;58141;58142;58143;58144;58145;58146;58147;58148;58149;58150;58151;58152;58153;58154;58155;58156;58157;58158;58159;58160;58161;58162;58163;58164;58165;58552;58553;58554;58555;58556;58557;58558;58559;58560;58561	4896;4897;4898;4899;4900;4901;4902;4903;4904;4905;4906;5323;5324;5325;5326;5327;8580;8581;8582;8583;8584;8585;8586;8587;8588;8589;8590;8591;8592;8593;8594;8595;8596;8597;8598;8599;8600;8601;8602;8603;8604;8605;8606;8607;8608;8609;8610;8611;8612;8613;8614;8615;8616;8617;8618;8619;8620;8621;8622;8623;8624;8625;8626;8627;8628;8629;8630;8631;8632;8633;8634;8635;8636;8637;8638;8639;8640;8641;8642;8643;8644;8645;8646;8647;8648;8649;8650;8651;8652;8653;8654;8655;8656;8657;8658;8659;8660;8661;8662;8663;8664;8665;8666;8667;8668;8669;8670;8671;8672;8673;8674;8675;8676;8677;8678;8679;8680;8681;8682;8683;8684;8685;8686;8687;8688;8689;8690;8691;8692;8693;8694;8695;8696;8697;8698;8699;8700;8701;8702;8703;8704;8705;8706;8707;8708;8709;8710;8711;8712;8713;8714;8715;8716;8717;8718;8719;8720;8721;8722;8723;8724;8725;8726;8727;8728;8729;8730;8731;8732;8733;8734;8735;8736;8737;8738;8739;8740;8741;8742;8743;8744;8745;8746;8747;8748;8749;8750;8751;8752;8753;8754;8755;8756;8757;8758;8759;8760;8761;9261;9262;9263;9264;9265;9266;9267;9268;9269;9270;9271;9272;9273;9274;9275;17183;17184;17185;17186;17187;17188;17189;17190;17191;17192;17193;17194;17195;17196;17197;17198;17199;17200;17201;17202;17203;17204;17205;17206;17207;20448;20449;20450;20451;20452;20453;20454;23073;23074;23678;35740;35741;35742;35743;35744;35745;35746;35747;35748;35749;35750;35751;35752;35753;35754;35755;35756;35757;35758;35759;35760;35761;35762;35763;35764;35765;35766;35767;35768;35769;35770;35771;35772;35773;35774;35775;35776;35777;35778;35779;35780;35781;35782;40956;40957;40958;40959;40960;40961;40962;40963;40964;40965;40966;43355;43356;43357;43358;43359;43675;43676;43677;43678;43679;43680;43681;43682;43683;43684;43685;43686;43687;43688;43689;43690;43691;43692;43693;43694;43695;43696;43697;43698;43699;43700;43701;43702;43703;43704;43705;43706;43707;43708;43709;43710;43711;43712;43713;43714;43715;43716;43717;43718;43719;45844;45845;45846;45847;45848;45849;45850;45851;45852;45853;45854;45855;45856;45857;45858;45859;45860;45861;45862;45863;45864;45865;45866;45867;45868;45869;45870;45871;45872;45873;45874;45875;45876;45877;45878;45879;45880;45881;45882;45883;45884;45885;45886;45887;45888;45889;45890;45891;45892;45893;45894;45895;45896;45897;45898;45899;45900;45901;45902;45903;45904;45905;45906;45907;45908;45909;45910;45911;45912;45913;45914;45915;45916;45917;45918;45919;45920;45921;45922;45923;45924;45925;45926;45927;45928;45929;45930;45931;45932;45933;45934;45935;45936;47518;47519;47520;47521;47522;47523;47524;47525;47526;47527;47528;47529;47530;49283;49284;49285;49286;49287;49288;49289;49290;49291;49292;49293;49294;49295;49296;49297;49298;49299;49300;49301;49302;49303;49304;51120;51121;51122;51123;51124;51125;51126;51127;51128;51129;51130;51131;51132;51133;51134;51135;51136;51137;51138;51139;51140;51141;51142;51143;51144;51145;51146;51147;51148;51149;51150;51151;51152;51153;51154;51155;51156;51157;51158;51478;51479;51480;51481;51482;51483;51484;51485	4900;5323;8597;8748;9264;9275;17199;17203;20453;23073;23678;35752;40958;40966;43356;43677;43716;45907;47519;47528;49291;49303;51150;51479		
YJL031C	YJL031C	3	3	3	sp|YJL031C|BET4_YEAST NCSL01000002.1 182028-183098 ORF Verified Alpha subunit of Type II geranylgeranyltransferase; required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins	1	3	3	3	1	0	0	0	0	2	1	1	0	0	0	0	2	1	1	0	0	0	0	2	1	9.5	9.5	9.5	39.683	327	327	0	3.0366	By MS/MS					By MS/MS	By MS/MS	3.4	0	0	0	0	6.1	3.7	1433000	569460	0	0	0	0	753610	109970	65138	25884	0	0	0	0	34255	4998.4	0	0	0	0	0	350210	0	1	0	0	0	0	1	1	3				1125	6819;6877;15380	True;True;True	7209;7271;16356	25497;25498;25693;57638	22424;22578;50713	22424;22578;50713		
YJL033W	YJL033W	2	2	2	sp|YJL033W|HCA4_YEAST NCSL01000002.1 179495-181807 ORF Verified DEAD box RNA helicase; component of the SSU; interacts with Bfr2p and Enp2p; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis GN=HCA	1	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	4.9	4.9	4.9	87.164	770	770	0	5.3937	By MS/MS							4.9	0	0	0	0	0	0	750190	750190	0	0	0	0	0	0	20838	20838	0	0	0	0	0	0	102410	0	0	0	0	0	0	3	0	0	0	0	0	0	3				1126	896;8899	True;True	962;9412	3632;33031	3207;28967;28968	3207;28967		
YJL034W	YJL034W	30	29	28	sp|YJL034W|KAR2_YEAST NCSL01000002.1 176990-179038 ORF Verified ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protei	1	30	29	28	26	13	13	13	21	20	19	26	12	13	13	20	19	19	25	11	12	12	19	18	18	41.1	40	38.3	74.451	682	682	0	298.22	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.1	21.6	22	20.8	34.9	32.3	30.9	444150000	214780000	29809000	45062000	7486600	90327000	34309000	22368000	13459000	6508600	903310	1365500	226870	2737200	1039700	677820	19420000	14229000	14621000	27219000	23570000	15391000	23608000	41	7	11	8	20	15	25	127				1127	564;714;1428;1601;1918;2131;3482;3572;3573;3589;5296;5380;5750;6667;6668;6774;6941;7034;7253;9965;10281;10282;11732;12506;13223;14397;14795;14796;15025;15167	True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	597;758;759;1514;1692;2033;2261;3694;3787;3788;3804;5610;5696;6083;7051;7052;7163;7337;7438;7667;7668;10626;10961;10962;12496;13316;13317;14070;15327;15328;15741;15742;15981;16128	2356;2357;2358;2359;2901;2902;2903;2904;2905;2906;2907;2908;2909;5688;5689;5690;5691;5692;5693;5694;5695;5696;6242;6243;6244;6245;7403;7404;7405;8135;8136;8137;8138;8139;8140;8141;13322;13323;13324;13325;13624;13625;13626;13627;13628;13629;13630;13675;13676;13677;13678;20084;20085;20086;20087;20088;20089;20430;20431;20432;20433;20434;20435;20436;21671;21672;21673;21674;24926;24927;24928;24929;25303;25304;25305;25923;26211;26882;26883;26884;36932;36933;36934;36935;36936;38251;38252;38253;38254;38255;38256;38257;38258;38259;38260;43445;43446;43447;43448;43449;43450;43451;43452;43453;43454;46407;46408;46409;46410;46411;46412;46413;46414;46415;46416;46417;46418;48980;48981;48982;48983;48984;48985;53902;53903;53904;53905;53906;55379;55380;55381;55382;55383;55384;55385;56278;56279;56752;56753;56754;56755;56756;56757;56758;56759;56760	2066;2067;2068;2537;2538;2539;2540;2541;2542;2543;2544;5076;5077;5078;5079;5080;5081;5082;5083;5084;5575;5576;5577;5578;6588;6589;7251;7252;7253;7254;7255;7256;7257;7258;7259;11815;11816;11817;11818;12062;12063;12064;12065;12066;12067;12068;12102;12103;17663;17664;17665;17666;17667;17960;17961;17962;17963;17964;19083;19084;19085;19086;19087;21918;21919;21920;21921;22249;22250;22777;23024;23025;23026;23571;23572;23573;32388;32389;32390;32391;33580;33581;33582;33583;33584;33585;33586;33587;33588;38226;38227;38228;40898;40899;40900;40901;40902;40903;40904;40905;40906;40907;40908;43123;43124;43125;43126;43127;47492;47493;47494;47495;47496;47497;47498;48760;48761;48762;48763;48764;49550;49551;49947;49948;49949;49950;49951;49952;49953;49954;49955;49956	2067;2542;5080;5576;6589;7257;11817;12065;12067;12102;17663;17960;19085;21918;21920;22249;22777;23024;23573;32388;33581;33583;38228;40900;43126;47495;48760;48764;49550;49949	942;943;944	168;323;482
YJL036W	YJL036W	7	7	7	sp|YJL036W|SNX4_YEAST NCSL01000002.1 174488-175759 ORF Verified Sorting nexin; involved in retrieval of late-Golgi SNAREs from post-Golgi endosomes to the trans-Golgi network and in cytoplasm to vacuole transport; contains a PX phosphoinositide-binding dom	1	7	7	7	7	1	0	0	0	1	2	7	1	0	0	0	1	2	7	1	0	0	0	1	2	25.1	25.1	25.1	49.032	423	423	0	18.745	By MS/MS	By matching				By matching	By MS/MS	25.1	2.1	0	0	0	2.1	6.4	5406900	4591900	318770	0	0	0	219870	276390	216280	183670	12751	0	0	0	8794.9	11056	528980	0	0	0	0	0	374270	8	0	0	0	0	0	2	10				1128	5826;6680;10855;13318;13686;14390;16032	True;True;True;True;True;True;True	6160;7065;11571;14170;14564;15320;17044	21920;24961;40475;49346;49347;50798;53873;53874;53875;53876;60063	19296;21951;35613;35614;43463;43464;43465;44707;47465;52797	19296;21951;35613;43465;44707;47465;52797		
YJL039C	YJL039C	8	8	8	sp|YJL039C|NUP192_YEAST NCSL01000002.1 163520-168571 ORF Verified Essential subunit of inner ring of nuclear pore complex (NPC); plays a role in modulating transport through the NPC; homologous to human NUP205 GN=NUP192 PE=1 SV=1	1	8	8	8	5	0	0	0	2	0	1	5	0	0	0	2	0	1	5	0	0	0	2	0	1	6.4	6.4	6.4	191.53	1683	1683	0	10.926	By MS/MS				By MS/MS		By MS/MS	3.7	0	0	0	2	0	0.7	594300	158090	0	0	0	360680	0	75534	7428.8	1976.1	0	0	0	4508.5	0	944.18	0	0	0	0	0	0	75534	4	0	0	0	1	0	1	6				1129	925;1145;4381;4460;11590;11965;14686;15166	True;True;True;True;True;True;True;True	993;1219;4631;4711;12342;12735;15631;16127	3743;4623;16503;16786;42836;44319;54976;56751	3300;4073;14514;14742;37675;38995;48435;49946	3300;4073;14514;14742;37675;38995;48435;49946		
YJL048C	YJL048C	2	2	2	sp|YJL048C|UBX6_YEAST NCSL01000002.1 142705-143895 ORF Verified UBX (ubiquitin regulatory X) domain-containing protein; interacts with Cdc48p, transcription is repressed when cells are grown in media containing inositol and choline; UBX6 has a paralog, UBX	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	7.1	7.1	7.1	45.016	396	396	0	3.4981	By MS/MS						By matching	7.1	0	0	0	0	0	3.8	666980	602290	0	0	0	0	0	64693	31761	28680	0	0	0	0	0	3080.6	82221	0	0	0	0	0	0	2	0	0	0	0	0	0	2				1130	7890;12797	True;True	8343;13623	29287;29288;47434	25704;41784	25704;41784		
YJL050W	YJL050W	1	1	1	sp|YJL050W|MTR4_YEAST NCSL01000002.1 137781-141002 ORF Verified ATP-dependent 3-5 RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1.6	1.6	1.6	122	1073	1073	0.0031136	1.5122	By MS/MS							1.6	0	0	0	0	0	0	490510	490510	0	0	0	0	0	0	8605.4	8605.4	0	0	0	0	0	0	66962	0	0	0	0	0	0	1	0	0	0	0	0	0	1				1131	11255	True	11991	41860	36798	36798		
